トラック名1	トラック名2	分岐器	定位False/反位True
TH66S_13T	TH66S_51イT	TH66S_W51	False
TH66S_52T	TH66S_53T	TH66S_W53	True
	TH66S_51ロT	TH66S_W53	False
TH66S_53T	TH66S_52T	TH66S_W52	True
	TH66S_5LET	TH66S_W52	False
TH66S_51ロT	TH66S_1RT	TH66S_W51	False
	TH66S_51イT	TH66S_W51	True
TH66S_51イT	TH66S_5LDT		
TH66S_1RT	上り146T		
TH66S_5LET	下り151T		
下り151T	下り145T		
下り145T	下り143T		
下り143T	下り137T		
下り137T	TH67_10LT		
上り146T	上り142T		
上り142T	上り136T		
上り136T	TH67_SST		
TH67_23RT	TH67_36ロT		
TH67_SST	TH67_36イT	TH67_W36	False
TH67_36ロT	TH67_36イT	TH67_W36	True
	TH67_33イT	TH67_W33	False
TH67_36イT	TH67_35ロT		
TH67_10LT	TH67_35イT	TH67_W35	False
TH67_35ロT	TH67_33ロT	TH67_W35	False
	TH67_35イT	TH67_W35	True
TH67_35イT	TH67_34T		
TH67_33ロT	TH67_1RBT	TH67_W33	False
	TH67_33イT	TH67_W33	True
TH67_33イT	TH67_1RAT		
TH67_34T	TH67_4LT	TH67_W34	False
	TH67_5LT	TH67_W34	True
TH67_1RAT	TH67_32T	TH67_W32	True
TH67_1RBT	TH67_32T	TH67_W32	False
TH67_4LT	TH67_31T	TH67_W31	False
TH67_5LT	TH67_31T	TH67_W31	True
TH67_32T	TH67_1RT		
TH67_31T	TH67_TST		
TH67_1RT	上り124T		
TH67_TST	下り123T		
下り123T	下り117T		
下り117T	下り111T		
下り111T	下り105T		
下り105T	下り103T		
下り103T	TH70_5LT		
上り124T	上り120T		
上り120T	上り114T		
上り114T	上り108T		
上り108T	上り102T		
上り102T	TH70_SST		
TH70_SST	TH70_21ロT		
TH70_5LT	TH70_21イT	TH70_W21	False
TH70_21ロT	TH70_1RAT	TH70_W21	False
	TH70_21イT	TH70_W21	True
TH70_21イT	TH70_5LBT		
TH70_1RAT	上り92T		
TH70_5LBT	TH70_2LT		
TH70_2LT	下り89T		
下り89T	TH71_6LT		
上り92T	上り86T		
上り86T	TH71_SST		
TH71_SST	TH71_23T		
TH71_6LT	TH71_24T		
TH71_23T	TH71_1RBT	TH71_W23	False
	TH71_1RAT	TH71_W23	True
TH71_24T	TH71_6LCT	TH71_W24	False
	TH71_6LDT	TH71_W24	True
TH71_1RAT	TH71_21T	TH71_W21	True
TH71_1RBT	TH71_21T	TH71_W21	False
TH71_6LCT	TH71_22T	TH71_W22	False
TH71_6LDT	TH71_22T	TH71_W22	True
TH71_21T	TH71_1RT		
TH71_22T	TH71_TST		
TH71_1RT	上り74T		
TH71_TST	下り75T		
下り75T	下り71T		
下り71T	下り67T		
下り67T	下り59T		
下り59T	下り55T		
下り55T	下り49T		
下り49T	下り45T		
下り45T	下り41T		
下り41T	下り35T		
下り35T	下り27T		
下り27T	TH75_9LT		
上り74T	上り68T		
上り68T	上り62T		
上り62T	上り56T		
上り56T	上り48T		
上り48T	上り42T		
上り42T	上り36T		
上り36T	上り30T		
上り30T	上り26T		
上り26T	TH75_SST		
TH75_SST	TH75_50イT	TH75_W50	False
TH75_9LT	TH75_50ロT		
TH75_50ロT	TH75_9LCT	TH75_W50	False
	TH75_50イT	TH75_W50	True
TH75_50イT	TH75_49ロT		
TH75_49ロT	TH75_5RBT	TH75_W49	False
	TH75_49イT	TH75_W49	True
TH75_49イT	TH75_5RAT		
TH75_5RAT	TH75_46ロT		
TH75_5RBT	TH75_46イT	TH75_W46	False
TH75_9LCT	TH75_6LT		
TH75_46ロT	TH75_48T	TH75_W46	False
	TH75_46イT	TH75_W46	True
TH75_46イT	TH75_1RET		
TH75_48T	TH75_4T	TH75_W48	False
	TH75_5T	TH75_W47	False
	TH75_6T	TH75_W47	True
TH75_4T	TH75_34LT		
TH75_5T	TH75_44T	TH75_W44	False
TH75_6T	TH75_45T	TH75_W45	False
TH75_1RET	TH75_43イT	TH75_W43	False
TH75_6LT	TH75_41イT	TH75_W41	False
TH75_34LT	TH75_42イT	TH75_W42	False
TH75_44T	TH75_45T	TH75_W45	True
	TH75_42ロT	TH75_W44	False
TH75_45T	TH75_44T	TH75_W44	True
	TH75_43ロT	TH75_W44	False
TH75_42ロT	TH75_8T	TH75_W42	False
	TH75_42イT	TH75_W42	True
TH75_42イT	TH75_7T		
TH75_43ロT	TH75_9T	TH75_W43	False
	TH75_43イT	TH75_W43	True
TH75_43イT	TH75_41ロT		
TH75_41ロT	TH75_1RT	TH75_W41	False
	TH75_41イT	TH75_W41	True
TH75_41イT	TH75_TST		
TH75_1RT	上り8T		
TH75_TST	下り9T		
下り9T	下り7T		
下り7T	TH76_27T		
上り8T	上り6T		
上り6T	TH76_26ロT		
TH76_26ロT	TH76_26イT	TH76_W26	True
	TH76_22T	TH76_W22	True
TH76_26イT	TH76_25T		
TH76_25T	TH76_23T	TH76_W25	False
	TH76_22T	TH76_W22	False
TH76_23T	TH76_24T	TH76_W24	True
	TH76_5LBT	TH76_W23	True
	TH76_21イT	TH76_W21	False
TH76_24T	TH76_21ロT		
TH76_21ロT	TH76_5LDT	TH76_W21	False
	TH76_21イT	TH76_W21	True
TH76_21イT	TH76_5LCT		
TH76_27T		TH76_W27	True
	TH76_26イT	TH76_W26	False
		TH76_W27	False
	TH76_24T	TH76_W24	False
TH76_22T	TH76_5LAT		
